company_id,type,rule_id,text,confidence_pct
ABB,con,C000,No prescribed risk threshold fired; valuation assumptions and primary filings still require monitoring,61.0
ABB,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99.0
ABB,pro,P001,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,83.3
ABB,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,82.0
ABB,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,78.1
ABB,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76.7
ABB,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,71.7
ADANIENSOL,con,C011,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,88.7
ADANIENSOL,con,C001,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,77.5
ADANIENSOL,con,C010,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,72.9
ADANIENSOL,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,79.4
ADANIENSOL,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72.9
ADANIENT,con,C011,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,82.6
ADANIENT,con,C010,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,72.9
ADANIENT,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,96.8
ADANIENT,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.8
ADANIENT,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,87.0
ADANIENT,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,79.0
ADANIENT,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.0
ADANIGREEN,con,C001,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,99.0
ADANIGREEN,con,C011,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,96.9
ADANIGREEN,con,C006,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,79.7
ADANIGREEN,con,C010,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,73.1
ADANIGREEN,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,99.0
ADANIGREEN,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,90.0
ADANIPORTS,con,C000,No prescribed risk threshold fired; valuation assumptions and primary filings still require monitoring,61.0
ADANIPORTS,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,99.0
ADANIPORTS,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,77.5
ADANIPORTS,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.6
ADANIPOWER,con,C000,No prescribed risk threshold fired; valuation assumptions and primary filings still require monitoring,61.0
ADANIPOWER,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,95.7
ADANIPOWER,pro,P001,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,81.6
ADANIPOWER,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,81.2
ADANIPOWER,pro,P002,Strong free cash flow generation over 5 years signals healthy business fundamentals,79.0
ADANIPOWER,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71.1
AMBUJACEM,con,C012,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,72.0
AMBUJACEM,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,88.4
AMBUJACEM,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,74.8
APOLLOHOSP,con,C000,No prescribed risk threshold fired; valuation assumptions and primary filings still require monitoring,61.0
APOLLOHOSP,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,91.5
APOLLOHOSP,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,86.1
APOLLOHOSP,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85.0
APOLLOHOSP,pro,P002,Strong free cash flow generation over 5 years signals healthy business fundamentals,79.0
APOLLOHOSP,pro,P008,Consistent dividend yield above 2% backed by positive free cash flow,76.9
ASIANPAINT,con,C008,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,73.2
ASIANPAINT,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99.0
ASIANPAINT,pro,P010,Return on equity improving for 3 consecutive years shows strengthening business quality,81.3
ASIANPAINT,pro,P002,Strong free cash flow generation over 5 years signals healthy business fundamentals,79.0
ASIANPAINT,pro,P001,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,77.3
ASIANPAINT,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,77.2
ASIANPAINT,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76.0
ASIANPAINT,pro,P008,Consistent dividend yield above 2% backed by positive free cash flow,73.7
ASIANPAINT,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,70.3
ATGL,con,C000,No prescribed risk threshold fired; valuation assumptions and primary filings still require monitoring,61.0
ATGL,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79.6
ATGL,pro,P012,Growing asset base funded by internal accruals reflects self-sustaining growth,77.8
ATGL,pro,P004,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76.1
ATGL,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.9
ATGL,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,72.8
AXISBANK,con,C011,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,99.0
AXISBANK,con,C010,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,78.2
AXISBANK,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,94.9
AXISBANK,pro,P009,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,90.1
AXISBANK,pro,P006,Net profit compounding at above 20% over 5 years creates significant shareholder value,89.7
AXISBANK,pro,P005,Operating profit margin above 25% indicates strong pricing power and cost discipline,79.7
BAJAJ-AUTO,con,C008,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,73.6
BAJAJ-AUTO,pro,P007,Very high interest coverage ratio reflects negligible financial stress from debt servicing,99.0
BAJAJ-AUTO,pro,P002,Strong free cash flow generation over 5 years signals healthy business fundamentals,79.0
BAJAJ-AUTO,pro,P008,Consistent dividend yield above 2% backed by positive free cash flow,78.4
BAJAJ-AUTO,pro,P001,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,75.6
BAJAJ-AUTO,pro,P011,Revenue growing slower than profits shows improving operating leverage and scale benefits,71.2
